"mun_id","mun_nom","pob_tot","sup_km2","mun_loc_tot","reg","dist","pob_18_44","pea_tot","pea_ocup","pea_ocup_inf","pct_pea","pct_ocup_pea","pct_ocup_inf","loc_princ_1","loc_princ_2","loc_princ_3","sec_princ","ue_sec_tot","ue_mun_tot","pymes_tot","prod_princ_1","vol_gan_1","prod_princ_2","vol_gan_2","prod_princ_3","vol_gan_3","cult_princ_1","vol_agri_1","cult_princ_2","vol_agri_2","cult_princ_3","vol_agri_3","viv_tot","viv_sin_agua","pct_viv_sin_agua","viv_sin_pc","pct_viv_sin_pc","viv_sin_dren","pct_viv_sin_dren","viv_sin_luz","pct_viv_sin_luz","viv_sin_int","pct_viv_sin_int","esc_ms_23_24","alum_ms_23_24","esc_sup_23_24","alum_sup_23_24","caren_salud","caren_seg_soc","acceso_alim","rez_educ","pobreza_multi","pobreza_ext","pobreza_mod","vul_caren_soc","vul_ing","no_pob_no_vul","afiliacion_salud","rama_princ_1","artesanos_tot_1","rama_princ_2","artesanos_tot_2","rama_princ_3","artesanos_tot_3","artesanos_tot_mun","vacb","total_ingresos","pct_de_18"
"001",Abejones,841,"126.4",1,Sierra Norte,Ixtlán de juárez,305,348,344,329,57.08,98.79,95.5,Abejones,,,Comercio al por menor,32,54,4,Ganado en pie de Bovino,"75.52",Carne de Bovino,"38.11",Leche de Bovino,"17.20",Maíz grano,"90.85",Frijol,"07.28",Aguacate,"03.09",216,1,0.46,199,92.13,49,22.69,4.0,1.85,199,92.13,1.0,66.0,0.0,0.0,45,755,307,247,787,204,583,52,1,1,793,Alfareria y Ceramica,1,,,,,1,1.42,5.336,36.27
"002",Acatlán de Pérez Figueroa,45167,"754.6",127,Papaloapan,Tuxtepec,16810,19409,19090,13611,59.17,98.36,71.3,Vicente Camalote,Acatlán de Pérez Figueroa,Tetela,Comercio al por menor,578,1741,36,Ganado en pie de Bovino,"1,819",Leche de Bovino,"1,299",Carne de Bovino,"1,006",Caña de azúcar,"1,129",Semilla de caña de azúcar,"18,14",Limón,"14,15",12999,1045,8.04,11282,86.79,2626,20.20,208.0,1.6,9299,71.54,8.0,1482.0,1.0,301.0,13982,27588,11201,12609,23820,7438,16381,11000,1214,4058,33304,Textiles,6,Talabartería y Peletería,1,,,7,532.562,2396.018,37.22
"174",Ánimas Trujano,4564,"3",5,Valles Centrales,Centro,1915,2136,2099,1599,61.16,98.26,76.16,Ánimas Trujano,El Zapotillo,La Tortuga [Paraje],Comercio al por menor,115,277,9,Leche de Bovino,"57.77",Ganado en pie de Bovino,"17.14",Ganado en pie de Ovino,"13.99",Alfalfa verde,"927.3",Tomate rojo (jitomate),"123.2",Maíz grano,"122.3",1219,54,4.43,695,57.01,6,0.49,9.0,0.74,594,48.73,0.0,0.0,0.0,0.0,1623,2353,556,547,1819,326,1494,1256,392,1099,2829,Materiales Diversos,1,,,,,1,276.675,819.527,41.96
"003",Asunción Cacalotepec,2547,"76.3",12,Sierra Norte,Mixe,890,1097,1081,936,59.04,98.51,86.53,Asunción Cacalotepec,Cerro Moneda,San Antonio Tlaxcaltepec,Comercio al por menor,37,80,0,Huevo plato de Ave,"09.20",Ganado en pie de Ave,"08.31",Ganado en pie de Bovino,"07.14",Maíz grano,"704.8",Café cereza,"473.2",Aguacate,"105.1",794,66,8.31,740,93.20,536,67.51,30.0,3.78,751,94.58,1.0,55.0,0.0,0.0,597,1880,198,816,2303,885,1418,191,31,23,1941,,,,,,,,2.886,16.341,34.94
"004",Asunción Cuyotepeji,1107,"83.7",4,Mixteca,Huajuapan,397,470,464,439,56.59,98.77,94.53,Asunción Cuyotepeji,Barrio Santa Cruz,Barrio San Antonio,Comercio al por menor,32,69,5,Ganado en pie de Bovino,"31.14",Carne de Bovino,"15.84",Ganado en pie de Porcino,"09.43",Maíz grano,"174.4",Pitaya,"78.60",Calabacita,"73.21",339,5,1.47,292,86.14,32,9.44,4.0,1.18,279,82.30,0.0,0.0,0.0,0.0,311,789,160,290,701,175,526,275,53,79,798,,,,,,,,3.316,9.928,35.86
"005",Asunción Ixtaltepec,15261,"658.9",73,Istmo,Juchitán,5305,6953,6816,5174,57.94,98.03,75.9,Asunción Ixtaltepec,Lázaro Cárdenas,Santiago Ixtaltepec,Industria manufacturera,189,620,28,Leche de Bovino,"3,862",Ganado en pie de Bovino,"2,449",Carne de Bovino,"1,347",Pastos y praderas,"230,6",Maíz grano,"2,359",Sorgo grano,"2,228",4934,125,2.53,3920,79.45,104,2.11,76.0,1.54,3524,71.42,6.0,711.0,0.0,0.0,3835,8125,4271,3607,4615,678,3937,6819,337,3136,11922,Alfareria y Ceramica,69,Textiles,12,Joyería,1,83,104.578,324.388,34.76
"006",Asunción Nochixtlán,20464,"343.4",69,Mixteca,Nochixtlán,7952,8683,8570,6252,60.67,98.71,72.95,Asunción Nochixtlán,Santa Catarina Adéquez (Adequés),Santiago Amatlán,Comercio al por menor,974,2255,78,Ganado en pie de Bovino,"340.5",Ganado en pie de Porcino,"324.7",Leche de Bovino,"254.1",Maíz grano,"1,926",Trigo grano,"1,145",Frijol,"358.5",5306,672,12.66,4137,77.97,876,16.51,195.0,3.68,4005,75.48,3.0,1383.0,1.0,348.0,8726,15444,3303,3016,14952,4364,10587,2760,673,1315,13477,Fibras Vegetales,68,Textiles,11,,,79,419.756,1485.699,38.86
"007",Asunción Ocotlán,2395,"4.5",2,Valles Centrales,Ocotlán,770,1037,1025,1017,55.22,98.82,99.2,Asunción Ocotlán,Jelaro,,Comercio al por menor,53,110,2,Leche de Bovino,"175.8",Ganado en pie de Bovino,"62.79",Carne de Bovino,"32.40",Tomate rojo (jitomate),"363.2",Alfalfa verde,"341.7",Maíz grano,"155.1",767,41,5.35,719,93.74,443,57.76,18.0,2.35,642,83.70,0.0,0.0,0.0,0.0,1038,1849,613,1304,2003,986,1017,380,4,10,1354,Textiles,2,,,,,2,5.393,17.097,32.15
"008",Asunción Tlacolulita,734,"189.9",2,Sierra Sur,Yautepec,198,289,288,288,50.25,99.76,100.0,Asunción Tlacolulita,San Juan Alotepec,,Comercio al por menor,17,59,2,Ganado en pie de Bovino,"40.28",Leche de Bovino,"33.75",Carne de Bovino,"20.51",Agave,"1,734",Papaya,"597.7",Maíz grano,"300.8",268,7,2.61,252,94.03,10,3.73,5.0,1.87,258,96.27,1.0,28.0,0.0,0.0,170,501,83,248,517,129,388,176,20,21,559,,,,,,,,1.554,5.017,26.98
"398",Ayoquezco de Aldama,4874,"104.4",13,Valles Centrales,Zimatlán,1752,2182,2147,1796,59.28,98.39,83.67,Ayoquezco de Aldama,Guegovela,El Llano,Comercio al por menor,192,423,4,Leche de Bovino,"592.7",Ganado en pie de Bovino,"154.9",Carne de Bovino,"80.90",Alfalfa verde,"4,598",Tomate rojo (jitomate),"1,486",Maíz grano,"1,098",1364,37,2.71,1216,89.15,450,32.99,14.0,1.03,1142,83.72,1.0,111.0,0.0,0.0,1187,4001,902,1940,3770,998,2771,982,37,87,3628,,,,,,,,39.472,211.469,35.95
